sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,244,91,4230,37088525,444,60.1748839,24.8035102,-96,,87.6,1696066022411,0.5,259.6,-6.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1748728,24.8035182,-96,,104.1,1696066030779,0.2,246.0,-13.7,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1748912,24.8036584,-97,,110.1,1696066035711,0.9,76.1,-15.7,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1749043,24.8037566,-99,,212.0,1696066040503,1.0,75.5,-12.7,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088525,444,60.1749144,24.8038307,-101,,312.1,1696066045510,1.0,75.1,-1.9,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088523,243,60.1749207,24.8038763,-108,,412.1,1696066050512,0.8,74.9,7.5,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.175022,24.8028346,-111,,91.7,1696066055189,3.4,284.9,4.6,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1750473,24.8026381,-108,,207.3,1696066060257,2.6,284.7,7.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1750594,24.8025415,-106,,306.3,1696066065210,2.0,284.6,7.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1750654,24.8024916,-103,,406.5,1696066070220,1.6,284.4,-11.0,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1750684,24.8024656,-98,,506.8,1696066075233,1.2,284.4,-8.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088533,244,60.1750698,24.8024523,-98,,607.1,1696066080249,1.0,284.3,-2.3,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1750703,24.8024461,-106,,707.3,1696066085258,0.9,284.2,1.9,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1749902,24.8042219,-105,,64.1,1696066090539,2.3,92.3,5.0,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1749867,24.8043742,-103,,159.0,1696066095283,2.0,92.5,-6.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1749841,24.8044719,-96,,259.1,1696066100290,1.5,92.7,2.4,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088791,193,60.1749829,24.804507,-94,,359.3,1696066105297,1.0,92.9,7.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088781,192,60.1749829,24.8044755,-98,,559.6,1696066115311,0.3,93.9,7.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088781,192,60.1749834,24.8044408,-98,,659.8,1696066120323,0.1,96.1,5.1,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088781,192,60.1749841,24.8044045,-96,,759.9,1696066125331,0.0,0.0,4.5,33,Samsung_SM-S911B
1,LTE,LTE,244,91,4230,37088781,192,60.1845001,24.8238705,-96,,86.1,1696066130580,0.0,0.0,5.3,33,Samsung_SM-S911B
