sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,244,12,113,2375444,33,60.1529059,24.7107738,-95,,21.2,1696065511544,0.6,244.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375446,33,60.1529131,24.7108002,-95,,17.4,1696065520995,0.1,254.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375446,33,60.1529014,24.7107754,-95,,17.8,1696065525983,0.4,227.4,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375446,33,60.152923,24.7108119,-95,,21.4,1696065530879,0.5,39.7,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529171,24.7108517,-95,,30.0,1696065536231,0.4,96.9,-15.2,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529292,24.7108458,-105,,32.2,1696065541218,0.2,4.0,-15.2,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529124,24.7108478,-105,,45.3,1696065546168,0.3,175.3,-14.7,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529481,24.7109393,-105,,66.9,1696065551164,0.9,56.3,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529683,24.7109918,-105,,174.7,1696065556019,0.8,54.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529819,24.7110251,-105,,275.2,1696065561045,0.6,52.7,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375445,32,60.1529889,24.7110401,-105,,374.2,1696065565993,0.5,51.5,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.152987,24.7110305,-105,,423.2,1696065570892,0.3,49.4,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.1529892,24.7110337,-105,,572.7,1696065575919,0.2,48.5,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.1529902,24.7110343,-105,,674.7,1696065581019,0.2,47.7,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.1529903,24.7110331,-94,,774.8,1696065586022,0.1,46.8,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.1529901,24.7110313,-94,,875.6,1696065591065,0.1,46.1,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2375447,34,60.1529897,24.7110292,-94,,976.0,1696065596083,0.1,0.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112515,309,60.1529892,24.711027,-94,,1076.0,1696065601086,0.1,0.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112515,309,60.1529886,24.7110247,-97,,1175.0,1696065606034,0.1,0.0,-14.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112515,309,60.1598136,24.7395184,-97,,28.1,1696065611220,0.0,0.0,0.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112515,309,60.1598136,24.7395184,-97,,126.7,1696065616150,0.0,0.0,0.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112515,309,60.1598136,24.7395184,-111,,227.1,1696065621170,0.0,0.0,0.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112514,308,60.1598136,24.7395184,-111,,326.1,1696065626118,0.0,0.0,0.8,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112514,308,60.1595298,24.7383443,-111,,82.5,1696065632455,5.8,244.1,0.6,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2112514,308,60.1594756,24.7382489,-105,,21.3,1696065642567,0.4,286.0,0.6,31,Xiaomi_M2007J3SY
