sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
1,LTE,LTE,244,12,112,2152194,225,60.18449,24.8246184,-91,,15.2,1696063633769,0.0,0.0,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.184488,24.8246113,-91,,26.9,1696063639855,0.1,0.0,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1844947,24.8245863,-91,,21.6,1696063644592,0.2,291.6,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1844996,24.824552,-91,,19.2,1696063649227,0.3,287.2,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845031,24.8244827,-91,,18.6,1696063654377,0.5,280.0,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845034,24.8244404,-91,,19.0,1696063661069,0.5,277.1,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1844967,24.8244418,-91,,17.4,1696063665704,0.2,246.5,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1844959,24.8244223,-91,,17.7,1696063670852,0.2,258.2,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1844949,24.8244749,-91,,15.0,1696063676001,0.1,0.0,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845044,24.8245278,-91,,13.4,1696063680635,0.2,79.6,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845144,24.8245754,-91,,12.9,1696063685269,0.3,72.5,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845272,24.824567,-102,,13.5,1696063690419,0.2,21.3,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845336,24.82459,-102,,14.6,1696063695053,0.2,45.2,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845323,24.8246026,-102,,15.4,1696063700202,0.1,66.3,5.1,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845339,24.8246016,-102,,15.7,1696063705350,0.1,0.0,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845334,24.8246146,-111,,16.0,1696063711014,0.1,88.4,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152194,225,60.1845287,24.8246278,-102,,16.6,1696063716163,0.1,114.7,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152196,227,60.1845237,24.8246468,-102,,1160.5,1696063723249,0.1,117.2,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152196,227,60.184521,24.824655,-102,,1385.3,1696063728278,0.1,119.3,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152196,227,60.1845172,24.8245648,-102,,282.2,1696063733304,0.2,252.2,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,112,2152196,227,60.184514,24.8245244,-102,,863.0,1696063738324,0.3,257.7,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845107,24.824457,-102,,963.4,1696063743347,0.5,262.0,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845076,24.824355,-102,,1063.7,1696063748361,0.7,264.5,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845049,24.8242252,-102,,1164.3,1696063753389,0.9,265.9,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845028,24.8240839,-102,,1266.3,1696063758493,1.1,266.7,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845015,24.8239503,-102,,1365.2,1696063763436,1.2,267.3,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101763,503,60.1845006,24.8238302,-112,,1465.5,1696063768453,1.2,267.7,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101790,503,60.1845003,24.8237327,-112,,1562.6,1696063773306,1.2,268.0,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101790,503,60.1845002,24.8236499,-112,,1664.2,1696063778388,1.1,268.2,5.3,31,Xiaomi_M2007J3SY
1,LTE,LTE,244,12,113,2101790,503,60.1845003,24.8235852,-112,,1764.8,1696063783416,1.1,268.4,5.3,31,Xiaomi_M2007J3SY
1,UMTS,HSPA,244,12,3101,675453,165,60.1783655,24.8038993,-93,,1800.0,1696063793428,0.0,0.0,5.3,31,Xiaomi_M2007J3SY
1,UMTS,HSPA+,244,12,3101,675453,165,60.1744398,24.7886755,-87,,1400.0,1696063798460,0.0,0.0,5.3,31,Xiaomi_M2007J3SY
