radio;area;cellid;signal;time;mnc
LTE;4230;37088779;-95;1,69606E+12;91
LTE;4230;37088779;-102;1,69606E+12;91
LTE;4230;37088779;-105;1,69606E+12;91
LTE;4230;37088779;-105;1,69606E+12;91
LTE;4230;37088779;-100;1,69606E+12;91
LTE;4230;37088779;-100;1,69606E+12;91
LTE;4230;37088779;-101;1,69606E+12;91
LTE;4230;37088789;-101;1,69606E+12;91
LTE;4230;37088791;-105;1,69606E+12;91
LTE;4230;37088791;-112;1,69606E+12;91
LTE;4230;37088535;-109;1,69606E+12;91
LTE;4230;37088535;-103;1,69606E+12;91
LTE;4230;37088535;-88;1,69606E+12;91
LTE;4230;37088535;-88;1,69606E+12;91
LTE;4230;37088535;-96;1,69606E+12;91
LTE;4230;37088535;-102;1,69606E+12;91
LTE;4230;37088533;-107;1,69606E+12;91
LTE;4230;37088525;-115;1,69606E+12;91
LTE;4230;37088525;-113;1,69606E+12;91
LTE;4230;37088525;-107;1,69606E+12;91
LTE;4230;37088525;-104;1,69606E+12;91
LTE;4230;37088525;-100;1,69606E+12;91
LTE;4230;37088525;-102;1,69606E+12;91
LTE;4230;37088525;-102;1,69606E+12;91
LTE;4230;37088525;-102;1,69606E+12;91
LTE;4230;37088525;-97;1,69606E+12;91
LTE;4230;37088525;-98;1,69606E+12;91
LTE;4230;37088525;-102;1,69606E+12;91
LTE;4230;37088289;-105;1,69606E+12;91
LTE;4230;37088289;-102;1,69606E+12;91
LTE;4230;37088289;-98;1,69606E+12;91
LTE;4230;37088289;-95;1,69606E+12;91
LTE;4230;37088289;-94;1,69606E+12;91
LTE;4230;37088289;-94;1,69606E+12;91
LTE;4230;37088289;-101;1,69606E+12;91
LTE;4230;37088289;-105;1,69606E+12;91
LTE;4230;37088269;-104;1,69606E+12;91
LTE;4230;37088269;-100;1,69606E+12;91
LTE;4230;37088269;-100;1,69606E+12;91
LTE;4230;37088269;-100;1,69606E+12;91
LTE;4230;37088269;-98;1,69606E+12;91
LTE;4230;37088269;-98;1,69606E+12;91
LTE;4230;37088269;-97;1,69606E+12;91
LTE;4230;37088269;-97;1,69606E+12;91
LTE;4230;37088269;-95;1,69606E+12;91
LTE;4230;37088269;-94;1,69606E+12;91
LTE;4230;37088269;-93;1,69606E+12;91
LTE;4230;37088269;-94;1,69606E+12;91
LTE;4230;37088279;-99;1,69606E+12;91
LTE;4230;37088279;-100;1,69606E+12;91
LTE;4230;37088279;-96;1,69606E+12;91
LTE;4230;37088279;-95;1,69606E+12;91
LTE;4230;37088279;-99;1,69606E+12;91
LTE;4230;37088279;-105;1,69606E+12;91
LTE;4230;37088013;-107;1,69606E+12;91
LTE;4230;37088013;-107;1,69606E+12;91
LTE;4230;37088013;-100;1,69606E+12;91
LTE;4230;37088013;-98;1,69606E+12;91
LTE;4230;37088013;-97;1,69606E+12;91
LTE;4230;37088013;-98;1,69606E+12;91
LTE;4230;37088013;-98;1,69606E+12;91
LTE;4230;37088013;-97;1,69606E+12;91
LTE;4230;37088013;-97;1,69606E+12;91
LTE;4230;37088013;-98;1,69606E+12;91
LTE;4230;37088013;-97;1,69606E+12;91
LTE;4230;37088013;-94;1,69606E+12;91
LTE;4230;37088013;-96;1,69606E+12;91
LTE;4230;37088013;-102;1,69606E+12;91
LTE;4230;37088023;-103;1,69606E+12;91
LTE;4230;37088023;-101;1,69606E+12;91
LTE;4230;37088023;-95;1,69606E+12;91
LTE;4230;37088023;-94;1,69606E+12;91
LTE;4230;37088023;-96;1,69606E+12;91
LTE;4230;37088023;-106;1,69606E+12;91
LTE;4230;36029719;-102;1,69606E+12;91
LTE;4230;36029719;-102;1,69606E+12;91
LTE;4230;36029719;-105;1,69606E+12;91
LTE;4230;36029709;-106;1,69606E+12;91
LTE;4230;36029709;-104;1,69606E+12;91
LTE;4230;36029709;-97;1,69606E+12;91
LTE;4230;36029709;-92;1,69606E+12;91
LTE;4230;36029709;-91;1,69606E+12;91
LTE;4230;36029709;-91;1,69606E+12;91
LTE;4230;36029709;-98;1,69606E+12;91
LTE;4230;36029709;-99;1,69606E+12;91
LTE;4230;36029709;-106;1,69606E+12;91
LTE;4230;36029728;-111;1,69606E+12;91
LTE;4230;36029728;-110;1,69606E+12;91
LTE;4230;36029728;-104;1,69606E+12;91
LTE;4230;36029728;-103;1,69606E+12;91
LTE;4230;36029728;-100;1,69606E+12;91
LTE;4210;37972778;-94;1,69606E+12;91
LTE;4210;37972778;-93;1,69606E+12;91
LTE;4210;37972778;-96;1,69606E+12;91
LTE;4210;37972778;-99;1,69606E+12;91
LTE;4210;37972747;-102;1,69606E+12;91
LTE;4210;37972747;-98;1,69606E+12;91
LTE;4210;37972747;-95;1,69606E+12;91
LTE;4210;37972747;-94;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37972767;-90;1,69606E+12;91
LTE;4210;37973279;-89;1,69606E+12;91
LTE;4210;37973279;-94;1,69606E+12;91
LTE;4210;37973259;-97;1,69606E+12;91
LTE;4210;37973259;-97;1,69606E+12;91
LTE;4210;37973259;-101;1,69606E+12;91
LTE;4210;37973269;-103;1,69606E+12;91
LTE;4210;37973269;-102;1,69606E+12;91
LTE;4210;37973269;-97;1,69606E+12;91
LTE;4210;37973269;-95;1,69606E+12;91
LTE;4210;37973269;-97;1,69606E+12;91
LTE;4210;37973801;-101;1,69606E+12;91
LTE;4210;37973801;-101;1,69606E+12;91
LTE;4210;37973801;-96;1,69606E+12;91
LTE;4210;37973801;-93;1,69606E+12;91
LTE;4210;37973801;-93;1,69606E+12;91
LTE;4210;37973801;-97;1,69606E+12;91
LTE;4210;37973801;-98;1,69606E+12;91
LTE;4210;37973771;-92;1,69606E+12;91
LTE;4210;37973771;-89;1,69606E+12;91
LTE;4210;37973791;-93;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37973791;-94;1,69606E+12;91
LTE;4210;37980449;-98;1,69606E+12;91
LTE;4210;37980449;-98;1,69606E+12;91
LTE;4210;37980449;-98;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-80;1,69606E+12;91
LTE;4210;37980449;-74;1,69606E+12;91
LTE;4210;37980449;-75;1,69606E+12;91
LTE;4210;37980449;-76;1,69606E+12;91
LTE;4210;37980449;-78;1,69606E+12;91
LTE;4210;37980449;-78;1,69606E+12;91
LTE;4210;37980449;-81;1,69606E+12;91
